display,target,company,trial_count,highest_phase,status_RECRUITING,status_NOT_YET_RECRUITING,status_ACTIVE_NOT_RECRUITING,status_ENROLLING_BY_INVITATION,status_COMPLETED,status_SUSPENDED,status_TERMINATED,status_WITHDRAWN,status_UNKNOWN,latest_update,has_results_count,key_ncts
Tarlatamab (Imdelltra),DLL3×CD3,Amgen,37,Phase 3,20,4,9,0,2,0,0,1,0,2026-07-31,4,NCT03319940; NCT04702737; NCT04885998; NCT05060016; NCT05361395; NCT05740566; NCT06117774; NCT06211036; NCT06502977; NCT06551142; NCT06598306; NCT06745323; NCT06776250; NCT06788938; NCT06814496; NCT06816394; NCT06830694; NCT06893783; NCT06898957; NCT06937905; NCT06957314; NCT07005128; NCT07016230; NCT07037758; NCT07061080; NCT07111507; NCT07203053; NCT07242547; NCT07243470; NCT07402343; NCT07423585; NCT07468656; NCT07531095; NCT07637513; NCT07699237
Tebentafusp/IMCgp100 (Kimmtrak),gp100 peptide–HLA-A*02:01×CD3,Immunocore,23,Phase 3,13,0,3,0,4,0,1,1,0,2026-07-28,4,NCT01211262; NCT02570308; NCT02889861; NCT03070392; NCT04262466; NCT05088395; NCT05315258; NCT05415072; NCT05549297; NCT05785754; NCT06070012; NCT06246149; NCT06414590; NCT06626516; NCT06627244; NCT06942442; NCT07057596; NCT07063875; NCT07203391; NCT07276386
Catumaxomab (Korjuny/Removab),EpCAM×CD3,Lindis/Neovii,18,Phase 3,0,0,0,0,13,0,2,0,3,2025-01-23,2,NCT00326885; NCT00377429
Pasritamig/JNJ-78278343,KLK2×CD3,Janssen,8,Phase 3,6,0,2,0,0,0,0,0,0,2026-07-31,0,NCT04644770; NCT04898634; NCT05818683; NCT06095089; NCT07082920; NCT07164443; NCT07225946; NCT07319871
Obrixtamig/BI 764532,DLL3×CD3,Boehringer Ingelheim,12,Phase 3,5,2,5,0,0,0,0,0,0,2026-07-24,0,NCT04429087; NCT05879978; NCT05882058; NCT05916313; NCT05963867; NCT05990738; NCT06077500; NCT06132113; NCT07472517; NCT07544654; NCT07561645; NCT07707895
HLX3901,DLL3×CD3,复宏汉霖,1,Phase 1,1,0,0,0,0,0,0,0,0,2026-07-08,0,NCT07416695
AZD5863,CLDN18.2×CD3,AstraZeneca,1,Phase 1/2,1,0,0,0,0,0,0,0,0,2026-02-24,0,NCT06005493
ERY974,GPC3×CD3,Chugai,2,Phase 1,0,0,1,0,1,0,0,0,0,2024-09-05,0,NCT05022927
Cibisatamab/RO6958688/RO6958689,CEA×CD3,Roche,5,Phase 1/2,0,0,0,0,3,0,2,0,0,2026-05-12,1,NCT03337698
Obrindatamab/MGD009,B7-H3×CD3,MacroGenics,2,Phase 1,0,0,0,0,1,0,1,0,0,2022-05-19,0,
TAK-280,B7-H3×CD3,Takeda,1,Phase 1/2,0,0,0,0,0,0,1,0,0,2026-07-07,1,NCT05220098
AMG 340,PSMA×CD3,Amgen,1,Phase 1,0,0,0,0,0,0,1,0,0,2025-06-17,1,NCT04740034
Acapatamab/AMG 160,PSMA×CD3,Amgen,3,Phase 1/2,0,0,0,0,0,0,3,0,0,2025-10-16,1,NCT04822298
CC-1,PSMA×CD3,Univ. Tübingen,3,Phase 1/2,2,0,0,0,0,0,1,0,0,2025-04-23,0,NCT04104607; NCT05646550
CX-904,EGFR×CD3,CytomX,1,Phase 1,0,0,0,0,0,0,1,0,0,2025-07-14,0,
TAK-186,EGFR×CD3,Takeda,2,Phase 1/2,0,0,0,0,0,0,1,1,0,2025-12-04,0,
M701,EpCAM×CD3,武汉友芝友,4,Phase 3,1,0,1,0,2,0,0,0,0,2026-07-08,0,NCT05543330; NCT06432296
BA3182,EpCAM×CD3,BioAtla,1,Phase 1,1,0,0,0,0,0,0,0,0,2025-09-25,0,NCT05808634
Ubamatamab/REGN4018,MUC16×CD3,Regeneron,7,Phase 2,5,1,0,0,0,0,0,0,0,2026-07-22,0,NCT03564340; NCT04590326; NCT06444880; NCT06787612; NCT07154290; NCT07637851
ISB 1302,HER2×CD3,Ichnos,1,Phase 1/2,0,0,0,0,0,0,1,0,0,2021-05-24,0,
Ertumaxomab,HER2×CD3,Neovii,4,Phase 2,0,0,0,0,0,0,4,0,0,2016-05-05,1,NCT00522457
CM350,GPC3×CD3,康诺亚,1,Phase 1/2,1,0,0,0,0,0,0,0,0,2025-05-04,0,NCT05263960
BA1202,CEA×CD3,博安生物,1,Phase 1,1,0,0,0,0,0,0,0,0,2024-04-25,0,NCT05909241
KGX105,EGFR×CD3,Kangabio,1,Phase 1,0,1,0,0,0,0,0,0,0,2026-07-21,0,NCT07702955
QLF4113,PSMA×CD3×CD2,齐鲁制药,1,Phase 1,0,1,0,0,0,0,0,0,0,2026-06-09,0,NCT07636707
M802,HER2×CD3,武汉友芝友,1,Phase 1,0,0,0,0,1,0,0,0,0,2025-07-20,0,
Gocatamig/MK-6070/HPN328,DLL3×CD3×albumin,Merck/Harpoon,3,Phase 1/2,2,0,1,0,0,0,0,0,0,2026-07-28,0,NCT04471727; NCT06780137; NCT07227597
Alveltamig/ZG006,DLL3×DLL3×CD3,泽璟生物 Suzhou Zelgen,9,Phase 3,7,2,0,0,0,0,0,0,0,2026-05-19,0,NCT05978284; NCT06283719; NCT06440057; NCT06592638; NCT07024277; NCT07038096; NCT07189455; NCT07231445; NCT07595913
JANX007,PSMA×CD3,Janux,1,Phase 1,1,0,0,0,0,0,0,0,0,2026-01-20,0,NCT05519449
JANX008,EGFR×CD3,Janux,1,Phase 1,0,0,1,0,0,0,0,0,0,2026-06-01,0,NCT05783622
Xaluritamig/AMG 509,STEAP1×CD3,Amgen,9,Phase 3,6,1,2,0,0,0,0,0,0,2026-07-31,0,NCT04221542; NCT06555796; NCT06613100; NCT06691984; NCT07140900; NCT07213674; NCT07297979; NCT07493512; NCT07737925
Brenetafusp/IMC-F106C,PRAME peptide–HLA-A*02:01×CD3,Immunocore,3,Phase 3,1,1,1,0,0,0,0,0,0,2026-07-07,0,NCT04262466; NCT06112314; NCT07686367
IBI389,CLDN18.2×CD3,信达生物,1,Phase 1,0,0,0,0,0,0,0,0,1,2023-12-28,0,
AMG 910,CLDN18.2×CD3,Amgen,1,Phase 1,0,0,0,0,0,0,1,0,0,2024-01-25,1,NCT04260191
REGN4336,PSMA×CD3,Regeneron,2,Phase 1/2,1,1,0,0,0,0,0,0,0,2026-05-18,0,NCT05125016; NCT07594106
